ID,first_name,last_name,street_po_box,city,state,ZIP_Code,telephone,email,annual_salary,employee_type
1,Sean,Hamilton,54 Holmberg Junction,Lincoln,NE,68505,5340105019,Sean.Hamilton@digitalsales.com,83097.61,salesperson
2,Mildred,Montgomery,60847 Killdeer Drive,Van Nuys,CA,91406,7748568585,Mildred.Montgomery@digitalsales.com,25639.68,salesperson
3,Billy,Murphy,412 Troy Road,Houston,TX,77065,5192057658,Billy.Murphy@digitalsales.com,48281.83,salesperson
4,Eric,Little,1 Mayer Road,Fullerton,CA,92835,6513002655,Eric.Little@digitalsales.com,56693.36,salesperson
5,George,Porter,1 Onsgard Avenue,Honolulu,HI,96810,7238929627,George.Porter@digitalsales.com,44520.98,salesperson
6,Julia,Hicks,234 Talisman Drive,New Haven,CT,6538,6664280369,Julia.Hicks@digitalsales.com,43578.29,salesperson
7,Marie,Diaz,5838 Del Sol Avenue,Columbia,SC,29215,9644094190,Marie.Diaz@digitalsales.com,45341.28,salesperson
8,Michelle,Washington,08516 Fuller Road,Norfolk,VA,23551,195243107,Michelle.Washington@digitalsales.com,26728.66,salesperson
9,Nicole,Robertson,9 Morrow Parkway,New York City,NY,10155,3216727953,Nicole.Robertson@digitalsales.com,95085.43,store manager
10,Jimmy,Peterson,27 Mayfield Point,Melbourne,FL,32919,7916512011,Jimmy.Peterson@digitalsales.com,55714.67,salesperson
11,Jean,Carroll,8374 Sycamore Way,Memphis,TN,38161,4375979216,Jean.Carroll@digitalsales.com,34026.49,salesperson
12,Sarah,Fields,1216 Weeping Birch Hill,Sioux Falls,SD,57105,1623702351,Sarah.Fields@digitalsales.com,50132.06,salesperson
13,Alan,Fox,9 Kim Plaza,Albany,NY,12227,8573969217,Alan.Fox@digitalsales.com,48422.25,salesperson
14,Margaret,Holmes,9 Cascade Lane,Peoria,IL,61640,7398550176,Margaret.Holmes@digitalsales.com,71076.33,salesperson
15,Daniel,Armstrong,3 Columbus Court,Trenton,NJ,8608,5322507721,Daniel.Armstrong@digitalsales.com,90288.25,store manager
16,Steven,Hart,227 Packers Parkway,New Brunswick,NJ,8922,5475785563,Steven.Hart@digitalsales.com,37072.38,salesperson
17,Johnny,Jones,1323 Marquette Trail,Charlotte,NC,28242,9688524604,Johnny.Jones@digitalsales.com,51163.81,salesperson
18,Keith,Stephens,23 Twin Pines Lane,Washington,DC,20392,4198631748,Keith.Stephens@digitalsales.com,54716.49,salesperson
19,Shawn,Burke,0026 Hovde Hill,Philadelphia,PA,19136,7673348198,Shawn.Burke@digitalsales.com,56983.52,salesperson
20,Andrew,Porter,0999 Logan Road,Cambridge,MA,2142,4161645046,Andrew.Porter@digitalsales.com,88046.03,store manager
21,Jeremy,Bryant,4231 Ramsey Junction,Pittsburgh,PA,15210,7978212883,Jeremy.Bryant@digitalsales.com,70195.27,salesperson
22,Anne,Knight,52 Harper Lane,Norfolk,VA,23551,2760025714,Anne.Knight@digitalsales.com,54731.66,salesperson
23,Arthur,Oliver,88 Holmberg Parkway,Charlotte,NC,28215,6151286332,Arthur.Oliver@digitalsales.com,50422.55,salesperson
24,Carlos,Mendoza,798 Hansons Road,Staten Island,NY,10310,8898326079,Carlos.Mendoza@digitalsales.com,25191.28,salesperson
25,Jimmy,Shaw,1 Red Cloud Center,Oklahoma City,OK,73173,7902567894,Jimmy.Shaw@digitalsales.com,66960.57,salesperson
26,Deborah,Moreno,3 Cordelia Street,Kansas City,MO,64101,7250510733,Deborah.Moreno@digitalsales.com,42209.03,salesperson
27,Jean,White,5 Kedzie Park,Austin,TX,78778,162960916,Jean.White@digitalsales.com,45818.05,salesperson
28,Gloria,James,6134 Armistice Park,Long Beach,CA,90810,4397582620,Gloria.James@digitalsales.com,31206.16,salesperson
29,Clarence,Fox,7335 Macpherson Avenue,El Paso,TX,79928,8283402746,Clarence.Fox@digitalsales.com,24700.09,salesperson
30,Johnny,Boyd,0 Anhalt Alley,Hartford,CT,6160,2703824775,Johnny.Boyd@digitalsales.com,97558.43,region manager
31,Sean,Sanchez,5 Arizona Drive,Anaheim,CA,92812,710867327,Sean.Sanchez@digitalsales.com,67121.02,salesperson
